,eventNum,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,condition,subID,run,trial,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd,Frequency
1059,48,6,5,2,7,5,7,7,7,Situational,27,3,3,74.898434,0.75,4.5,1.5,task/Jitter/left2.jpg,task/Jitter/left3.jpg,task/Jitter/left1.jpg,[1 1 1],1,81.831308,82.810163,0.978855,87.847587,95.863688,1,96.380351,1,1454905.51,2,100.913366,1,1454905.467,3,105.4464,1,1454905.324,109.46278,4
1060,45,2,2,4,4,2,6,5,5.5,Dispositional,27,3,4,109.479468,0.75,3,0.75,task/Jitter/right1.jpg,task/Jitter/left2.jpg,NaN,[2 1],1,114.11251,115.466158,1.353647,120.128758,128.144895,3,137.727592,4,1454905.682,2,133.194574,4,1454905.735,1,128.661539,4,1454905.895,141.743984,1
1061,62,3,4,4,5,1,6,7,6.5,Situational,27,3,5,141.760608,0.75,4.5,0.75,task/Jitter/right1.jpg,task/Jitter/left2.jpg,task/Jitter/left2.jpg,[2 1 1],1,148.043588,149.164133,1.120545,154.059864,162.075963,2,167.125658,1,1454905.547,1,162.592611,1,1454906.585,3,171.658682,2,1454905.489,175.675058,1
1062,56,2,2,4,4,1,7,7,7,Dispositional,27,3,6,175.691758,0.75,4.5,0.75,task/Jitter/left2.jpg,task/Jitter/right2.jpg,task/Jitter/left3.jpg,[1 2 1],1,181.874672,183.378071,1.5034,187.890957,195.90704,3,205.489771,4,1454906.523,2,200.956741,2,1454906.184,1,196.423723,3,1454905.985,209.506166,2
1063,76,4,4,4,6,1,7,6,6.5,Situational,27,3,7,209.522836,0.75,4.5,0.75,task/Jitter/left1.jpg,task/Jitter/right2.jpg,task/Jitter/right3.jpg,[1 2 2],1,215.705774,217.18808,1.482305,221.722051,229.738154,3,239.320873,2,1454906.153,2,234.78783,1,1454905.951,1,230.254814,3,1454905.987,243.337258,4
1064,70,3,3,4,3,3,7,7,7,Situational,27,3,8,243.353941,1.5,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/left3.jpg,task/Jitter/left3.jpg,[2 1 1],1,251.020091,253.31904,2.298949,257.036355,265.052469,2,270.102153,3,1454906.951,1,265.569126,1,1454905.9,3,274.63519,2,1454906.106,278.65159,2
1065,33,2,2,3,7,6,7,7,7,Dispositional,27,3,9,278.668261,1.5,3,1.5,task/Jitter/right1.jpg,task/Jitter/right1.jpg,NaN,[2 2],1,284.784526,286.185974,1.401449,290.800802,298.816923,1,299.333555,4,1454906.065,2,303.866598,4,1454906.034,3,308.39962,4,1454905.804,312.416017,4
1066,78,3,2,2,6,4,7,7,7,Dispositional,27,3,10,312.432694,0.75,4.5,1.5,task/Jitter/left1.jpg,task/Jitter/right3.jpg,task/Jitter/left1.jpg,[1 2 1],1,319.365573,321.29693,1.931357,325.381846,333.397936,1,333.914597,4,1454906.271,3,342.980676,4,1454905.458,2,338.447631,3,1454906.138,346.997058,3
1067,12,1,2,2,4,1,4,4,4,Situational,27,3,11,347.013748,0.75,4.5,0.75,task/Jitter/right3.jpg,task/Jitter/right3.jpg,task/Jitter/right3.jpg,[2 2 2],1,353.179988,354.873912,1.693924,359.196271,367.212374,3,376.795089,4,1454905.699,2,372.262059,1,1454905.579,1,367.729033,2,1454905.988,380.811487,3
1068,52,3,3,3,3,3,7,7,7,Situational,27,3,12,380.828163,1.5,4.5,0.75,task/Jitter/right2.jpg,task/Jitter/right2.jpg,task/Jitter/right2.jpg,[2 2 2],1,387.727713,388.885854,1.158142,393.743987,401.760074,2,406.809786,3,1454905.826,1,402.276734,3,1454906.365,3,411.342802,4,1454905.537,415.359196,1
